wavelength_nm,If,abs_xs
929.967,0.00106421,5.18516e-21
930.047,0.00136428,6.58239e-21
930.126,0.00125552,5.9985799999999995e-21
930.206,0.00117399,5.55438e-21
930.286,0.000819659,3.84019e-21
930.366,0.00116087,5.3858e-21
930.446,0.00122935,5.64797e-21
930.526,0.00120234,5.47003e-21
930.606,0.000929596,4.1880099999999996e-21
930.686,0.00062943,2.8080899999999997e-21
930.766,0.000779796,3.44506e-21
930.846,0.00108049,4.7270499999999996e-21
930.926,0.00101243,4.38617e-21
931.006,0.000821335,3.5236599999999995e-21
931.086,0.000862526,3.66438e-21
931.166,0.00128656,5.41271e-21
931.246,0.00108173,4.5067e-21
931.326,0.000863127,3.5609799999999995e-21
931.405,0.000931736,3.8066699999999995e-21
931.485,0.0011646,4.7117999999999995e-21
931.565,0.00121962,4.88647e-21
931.645,0.00137052,5.43767e-21
931.725,0.00105586,4.14854e-21
931.805,0.00102871,4.00261e-21
931.885,0.00137148,5.2844599999999996e-21
931.965,0.00122105,4.6591599999999995e-21
932.045,0.00101572,3.83807e-21
932.125,0.00123533,4.62259e-21
932.205,0.00112591,4.17225e-21
932.285,0.0014691,5.39117e-21
932.365,0.0011676,4.24319e-21
932.445,0.0013463,4.8451199999999996e-21
932.525,0.00114072,4.06547e-21
932.604,0.00171768,6.0623499999999994e-21
932.684,0.00127861,4.4689599999999995e-21
932.764,0.000990441,3.42821e-21
932.844,0.00119679,4.1022899999999996e-21
932.924,0.00148569,5.04325e-21
933.004,0.00144481,4.85697e-21
933.084,0.00115641,3.84979e-21
933.164,0.00151429,4.9924e-21
933.244,0.00110194,3.59776e-21
933.324,0.00136366,4.40914e-21
933.404,0.00146033,4.67603e-21
933.484,0.00143316,4.54459e-21
933.564,0.00139219,4.37198e-21
933.644,0.00173688,5.4016599999999995e-21
933.724,0.00140665,4.3323299999999996e-21
933.804,0.00197202,6.01485e-21
933.883,0.00160034,4.83401e-21
933.963,0.0016559,4.95346e-21
934.043,0.00191834,5.6830799999999995e-21
934.123,0.00189124,5.5486299999999994e-21
934.203,0.00158816,4.6144199999999996e-21
934.283,0.00201641,5.8021e-21
934.363,0.00174081,4.9607e-21
934.443,0.00174123,4.9139899999999994e-21
934.523,0.00185215,5.17654e-21
934.603,0.00210129,5.81616e-21
934.683,0.00186691,5.1175299999999996e-21
934.763,0.0019365,5.25706e-21
934.843,0.00178492,4.79882e-21
934.923,0.00177156,4.71694e-21
935.003,0.00209016,5.5115699999999994e-21
935.082,0.00168943,4.41192e-21
935.162,0.0016345,4.2273099999999995e-21
935.242,0.00185641,4.7549499999999995e-21
935.322,0.00170457,4.32393e-21
935.402,0.00169115,4.24855e-21
935.482,0.00169157,4.20867e-21
935.562,0.00191373,4.71553e-21
935.642,0.00172018,4.19777e-21
935.722,0.00190087,4.5940499999999994e-21
935.802,0.00155464,3.7211e-21
935.882,0.00163827,3.8835099999999995e-21
935.962,0.00149993,3.52136e-21
936.042,0.00161136,3.74656e-21
936.122,0.00161179,3.7114799999999996e-21
936.202,0.00155665,3.55004e-21
936.282,0.00179317,4.0501e-21
936.361,0.00147408,3.2973799999999997e-21
936.441,0.00165514,3.66678e-21
936.521,0.00143315,3.1444799999999998e-21
936.601,0.00143353,3.1150699999999997e-21
936.681,0.00176771,3.80432e-21
936.761,0.00171252,3.65013e-21
936.841,0.00150422,3.17535e-21
936.921,0.00149068,3.11655e-21
937.001,0.00206189,4.26938e-21
937.081,0.00185355,3.8011099999999996e-21
937.161,0.00129685,2.6339399999999998e-21
937.241,0.00186846,3.7584799999999995e-21
937.321,0.00196651,3.91774e-21
937.401,0.00167426,3.3035099999999997e-21
937.481,0.0019954,3.89938e-21
937.56,0.00168907,3.2691e-21
937.64,0.00189878,3.6397399999999995e-21
937.72,0.00206674,3.92372e-21
937.8,0.00210916,3.96586e-21
937.88,0.00201198,3.7468699999999994e-21
937.96,0.00202647,3.73768e-21
938.04,0.00208287,3.8048899999999996e-21
938.12,0.00191572,3.46602e-21
938.2,0.00219577,3.93464e-21
938.28,0.00200062,3.55062e-21
938.36,0.00191724,3.37006e-21
938.44,0.00225346,3.92313e-21
938.52,0.00226804,3.91072e-21
938.6,0.00224063,3.8264899999999994e-21
938.68,0.00200323,3.38832e-21
938.76,0.00179372,3.00491e-21
938.839,0.00178019,2.95372e-21
938.919,0.00214491,3.52484e-21
938.999,0.00204737,3.33237e-21
939.079,0.00218806,3.52732e-21
939.159,0.00210451,3.36019e-21
939.239,0.00193677,3.06282e-21
939.319,0.00223188,3.49577e-21
939.399,0.00227454,3.52856e-21
939.479,0.00193828,2.97819e-21
939.559,0.00227572,3.4632699999999996e-21
939.639,0.00238867,3.6004399999999996e-21
939.719,0.00236121,3.52507e-21
939.799,0.00227751,3.36767e-21
939.879,0.00233431,3.41871e-21
939.959,0.00196945,2.85683e-21
940.038,0.00258871,3.71929e-21
940.118,0.00263164,3.7448899999999995e-21
940.198,0.00253388,3.5713899999999995e-21
940.278,0.0020983,2.92927e-21
940.358,0.0023945,3.3108799999999998e-21
940.438,0.0028035,3.83946e-21
940.518,0.00238173,3.23074e-21
940.598,0.00228376,3.0683399999999998e-21
940.678,0.00231257,3.0774499999999997e-21
940.758,0.00242598,3.1976099999999997e-21
940.838,0.00258175,3.3705099999999998e-21
940.918,0.00262477,3.39405e-21
940.998,0.0026396,3.3807199999999998e-21
941.078,0.0020053,2.5438799999999998e-21
941.158,0.00213289,2.67999e-21
941.237,0.00209112,2.6025e-21
941.317,0.00216231,2.6654999999999998e-21
941.397,0.00229005,2.79611e-21
941.477,0.00224829,2.71901e-21
941.557,0.00226305,2.71083e-21
941.637,0.00237678,2.8199999999999998e-21
941.717,0.0022643,2.661e-21
941.797,0.0024771,2.88342e-21
941.877,0.00243531,2.8078299999999997e-21
941.957,0.00199719,2.28081e-21
942.037,0.00232338,2.62812e-21
942.117,0.00232402,2.60388e-21
942.197,0.00243799,2.7056399999999998e-21
942.277,0.00276458,3.03894e-21
942.357,0.0022976,2.5016499999999998e-21
942.437,0.00259597,2.7996799999999998e-21
942.516,0.00242651,2.59209e-21
942.596,0.00245555,2.59822e-21
942.676,0.00251299,2.63378e-21
942.756,0.00272659,2.8305399999999998e-21
942.836,0.00237241,2.4394999999999998e-21
942.916,0.00248668,2.53275e-21
942.996,0.00243054,2.45211e-21
943.076,0.0030138,3.0117199999999997e-21
943.156,0.00241768,2.3931199999999997e-21
943.236,0.00263161,2.58019e-21
943.316,0.00268922,2.6116999999999998e-21
943.396,0.00236279,2.27294e-21
943.476,0.0025342,2.4147399999999998e-21
943.556,0.00289071,2.7283699999999997e-21
943.636,0.00284881,2.6633699999999997e-21
943.715,0.00276416,2.55977e-21
943.795,0.00302133,2.77145e-21
943.875,0.00280844,2.55179e-21
943.955,0.00256693,2.31028e-21
944.035,0.00273872,2.4415799999999997e-21
944.115,0.00255409,2.25545e-21
944.195,0.0027973,2.44687e-21
944.275,0.00302638,2.62222e-21
944.355,0.00305579,2.62268e-21
944.435,0.00301382,2.5622099999999998e-21
944.515,0.00320034,2.69507e-21
944.595,0.00307266,2.56311e-21
944.675,0.00313067,2.58683e-21
944.755,0.00285999,2.3408499999999998e-21
944.835,0.00313242,2.53962e-21
944.914,0.00351944,2.8264599999999998e-21
944.994,0.00367777,2.9257299999999997e-21
945.074,0.00376466,2.96659e-21
945.154,0.0041951,3.27459e-21
945.234,0.00432517,3.34427e-21
945.314,0.00435504,3.3355999999999997e-21
945.394,0.00447086,3.39201e-21
945.474,0.00473005,3.5548199999999995e-21
945.554,0.00526169,3.91709e-21
945.634,0.00503382,3.71212e-21
945.714,0.00569499,4.16011e-21
945.794,0.00553879,4.00789e-21
945.874,0.00568382,4.07408e-21
945.954,0.00623086,4.42412e-21
946.034,0.00634752,4.4645e-21
946.113,0.00637809,4.4437699999999995e-21
946.193,0.00635113,4.38332e-21
946.273,0.00682712,4.66748e-21
946.353,0.00668534,4.52754e-21
946.433,0.00696046,4.66949e-21
946.513,0.00702,4.6651299999999996e-21
946.593,0.00702203,4.62258e-21
946.673,0.00719678,4.69306e-21
946.753,0.00744355,4.80834e-21
946.833,0.00747452,4.78295e-21
946.913,0.00744787,4.72109e-21
946.993,0.00792547,4.97662e-21
947.073,0.00794219,4.9402499999999995e-21
947.153,0.00842019,5.18837e-21
947.233,0.00839381,5.12353e-21
947.312,0.00874242,5.2862e-21
947.392,0.0087738,5.2553499999999995e-21
947.472,0.00923818,5.48156e-21
947.552,0.00899546,5.2874299999999994e-21
947.632,0.00943129,5.49157e-21
947.712,0.00895733,5.16666e-21
947.792,0.00939343,5.36737e-21
947.872,0.00903482,5.11403e-21
947.952,0.00873386,4.89731e-21
948.032,0.0086642,4.81268e-21
948.112,0.00869571,4.7849e-21
948.192,0.0077432,4.22083e-21
948.272,0.00754279,4.0730499999999996e-21
948.352,0.0071541,3.8269599999999995e-21
948.432,0.00660586,3.50058e-21
948.511,0.00682515,3.5829e-21
948.591,0.00629099,3.2715599999999997e-21
948.671,0.00577104,2.97306e-21
948.751,0.00575826,2.9386999999999998e-21
948.831,0.00536836,2.71407e-21
948.911,0.00503623,2.52232e-21
948.991,0.00476199,2.36265e-21
949.071,0.00525706,2.58388e-21
949.151,0.00470677,2.2917599999999998e-21
949.231,0.00441765,2.13087e-21
949.311,0.00438993,2.09769e-21
949.391,0.00420228,1.98925e-21
949.471,0.00439258,2.0598899999999997e-21
949.551,0.00462663,2.14937e-21
949.631,0.00451168,2.07638e-21
949.71,0.00462951,2.1107e-21
949.79,0.00431061,1.94695e-21
949.87,0.00490898,2.1965e-21
949.95,0.00489584,2.17016e-21
950.03,0.00510124,2.24009e-21
950.11,0.00520471,2.26419e-21
950.19,0.00484174,2.08663e-21
950.27,0.00484316,2.06776e-21
950.35,0.00534056,2.25885e-21
950.43,0.00553175,2.3178799999999998e-21
950.51,0.00537278,2.2302699999999998e-21
950.59,0.00519915,2.13807e-21
950.67,0.00577025,2.3508e-21
950.75,0.00575736,2.3236799999999998e-21
950.83,0.00559829,2.23841e-21
