wavelength_nm,If,abs_xs
939.919,1.77982e-05,2.1043399999999997e-21
939.959,1.78007e-05,2.0856e-21
939.999,3.1498e-05,3.65706e-21
940.038,-2.32844e-05,-2.67897e-21
940.078,-9.5891e-06,-1.0932899999999999e-21
940.118,-3.69917e-05,-4.17944e-21
940.158,-3.69968e-05,-4.14222e-21
940.198,4.11136e-06,4.56154e-22
940.238,5.89369e-05,6.47992e-21
940.278,-2.33038e-05,-2.53902e-21
940.318,-2.3307e-05,-2.51642e-21
940.358,5.89611e-05,6.30841e-21
940.398,5.89692e-05,6.25227e-21
940.438,5.89773e-05,6.19663e-21
940.478,5.89854e-05,6.14149e-21
940.518,-9.60363e-06,-9.90884e-22
940.558,0.000100166,1.0241499999999999e-20
940.598,-3.70527e-05,-3.75427e-21
940.638,5.90179e-05,5.92584e-21
940.678,4.11815e-06,4.09759e-22
940.718,-5.07968e-05,-5.00868e-21
940.758,4.53114e-05,4.42747e-21
940.798,4.11984e-06,3.98924e-22
940.838,1.78549e-05,1.71328e-21
940.878,4.53301e-05,4.31042e-21
940.918,8.65513e-05,8.15584e-21
940.958,-2.33583e-05,-2.18122e-21
940.998,-2.33615e-05,-2.16183e-21
941.038,4.53551e-05,4.1592e-21
941.078,4.53613e-05,4.1222399999999995e-21
941.118,1.78721e-05,1.6094799999999999e-21
941.158,0.000114122,1.0184599999999998e-20
941.198,-9.6261e-06,-8.51316e-22
941.237,4.53863e-05,3.97769e-21
941.277,5.91479e-05,5.1370099999999995e-21
941.317,1.78844e-05,1.53925e-21
941.357,4.54051e-05,3.8726399999999995e-21
941.397,-2.33937e-05,-1.97728e-21
941.437,8.67063e-05,7.2625e-21
941.477,3.1659e-05,2.62785e-21
941.517,8.67302e-05,7.13412e-21
941.557,-3.71753e-05,-3.03034e-21
941.597,4.1312e-06,3.3372e-22
941.637,-5.09579e-05,-4.0793e-21
941.677,-3.71906e-05,-2.95037e-21
941.717,5.92376e-05,4.6570299999999994e-21
941.757,7.30236e-05,5.6891099999999994e-21
941.797,7.30334e-05,5.63861e-21
941.837,1.79162e-05,1.37078e-21
941.877,8.68365e-05,6.58405e-21
941.917,-9.64981e-06,-7.25071e-22
941.957,5.92854e-05,4.41449e-21
941.997,8.68721e-05,6.410389999999999e-21
942.037,4.55107e-05,3.3280499999999998e-21
942.077,5.931e-05,4.2981e-21
942.117,7.31131e-05,5.25069e-21
942.157,4.1391e-06,2.94578e-22
942.197,-9.65914e-06,-6.81248e-22
942.237,5.93428e-05,4.1476999999999996e-21
942.277,4.55484e-05,3.1549099999999997e-21
942.317,8.69681e-05,5.96964e-21
942.357,1.79483e-05,1.2209099999999999e-21
942.397,0.000128417,8.656839999999999e-21
942.437,-2.34773e-05,-1.5684099999999999e-21
942.476,5.9392e-05,3.93202e-21
942.516,1.79582e-05,1.17822e-21
942.556,4.14483e-06,2.69492e-22
942.596,5.94167e-05,3.82846e-21
942.636,5.94249e-05,3.79456e-21
942.676,3.17898e-05,2.01167e-21
942.716,4.56178e-05,2.86076e-21
942.756,4.56241e-05,2.83543e-21
942.796,-2.35065e-05,-1.44774e-21
942.836,8.71247e-05,5.31769e-21
