9.100000000000000000e+02	5.261385804416312574e-03	3.262440557507288538e-23	1.130118633740820322e-21	5.112656699043470754e-01	-8.347028343710671816e-02
9.100199999999999818e+02	4.848755261452362963e-03	3.006910831381369786e-23	1.040396101515780283e-21	4.706751963257390092e-01	-8.351192781267302578e-02
9.100399999999999636e+02	4.436124718488412486e-03	2.751324775286763432e-23	9.508604552235858422e-22	4.301692699431502453e-01	-8.356505977490591430e-02
9.100599999999999454e+02	4.023494175524462875e-03	2.495682381776789168e-23	8.615113887613520631e-22	3.897477522756356838e-01	-8.363321000174839259e-02
9.100799999999999272e+02	3.610863632560513264e-03	2.239983643404117818e-23	7.723485964906990634e-22	3.494105050523922396e-01	-8.372152117808939753e-02
9.100999999999999091e+02	3.637460219029252546e-03	2.256731208698168415e-23	7.772221630885073350e-22	3.516153065812407386e-01	-8.369481490458652306e-02
9.101199999999998909e+02	4.286117079561486617e-03	2.659459825535979595e-23	9.148620750515239756e-22	4.138836027533094319e-01	-8.351799941428605933e-02
9.101399999999998727e+02	4.934773940093721556e-03	3.062277104005063927e-23	1.052212722910295974e-21	4.760210358446179124e-01	-8.338233416794493813e-02
9.101599999999998545e+02	5.583430800625956494e-03	3.465183055820244417e-23	1.189274581801352674e-21	5.380278208069319001e-01	-8.327348779694176972e-02
9.101799999999998363e+02	6.232087661158190565e-03	3.868177692697363516e-23	1.326048126139256703e-21	5.999041722653997155e-01	-8.318309162694448311e-02
9.101999999999998181e+02	6.456038311089287024e-03	4.007622247254275661e-23	1.372260575219806548e-21	6.208106842294405237e-01	-8.314237206466212893e-02
9.102199999999997999e+02	6.093266322451540255e-03	3.782845959059948040e-23	1.293794867131906797e-21	5.853127978904746342e-01	-8.315802965054752693e-02
9.102399999999997817e+02	5.730494333813793487e-03	3.558020114670254240e-23	1.215492119957857524e-21	5.498886350689347058e-01	-8.317821942562020343e-02
9.102599999999997635e+02	5.367722345176045851e-03	3.333144707534702620e-23	1.137352067124236132e-21	5.145380751670044495e-01	-8.320385957570952673e-02
9.102799999999997453e+02	5.004950356538299082e-03	3.108219731102222607e-23	1.059374442461804820e-21	4.792609977697204759e-01	-8.323613427152731781e-02
9.102999999999997272e+02	5.054468962651111064e-03	3.139317818728260141e-23	1.068735194399907318e-21	4.834958019465180890e-01	-8.320929548954936195e-02
9.103199999999997090e+02	5.659620869944348084e-03	3.515563133064231986e-23	1.195437286799472688e-21	5.408158285480814120e-01	-8.310882193050350697e-02
9.103399999999996908e+02	6.264772777237586840e-03	3.891891245449826385e-23	1.321872854992089423e-21	5.980152795984212677e-01	-8.302385485926511155e-02
9.103599999999996726e+02	6.869924684530823861e-03	4.268302166822036147e-23	1.448042336767037159e-21	6.550943531534075825e-01	-8.295029898167993743e-02
9.103799999999996544e+02	7.475076591824062616e-03	4.644795908118836206e-23	1.573946169248492369e-21	7.120532469680179721e-01	-8.288538442228798875e-02
9.103999999999996362e+02	7.684532156208189607e-03	4.775471175996975738e-23	1.616354533031397801e-21	7.312387907434043655e-01	-8.285172638604365591e-02
9.104199999999996180e+02	7.373723858933397060e-03	4.582827084981059130e-23	1.549355396429770392e-21	7.009283813448281553e-01	-8.285326118150593278e-02
9.104399999999995998e+02	7.062915561658604513e-03	4.390140511785546779e-23	1.482494876748972241e-21	6.706806822412350044e-01	-8.285670473351580689e-02
9.104599999999995816e+02	6.752107264383811966e-03	4.197411450795394869e-23	1.415772747597307600e-21	6.404955910130220031e-01	-8.286232046204256019e-02
9.104799999999995634e+02	6.441298967109019419e-03	4.004639896395053534e-23	1.349188782926041073e-21	6.103730053957410195e-01	-8.287042259563792701e-02
9.104999999999995453e+02	6.078784767753389780e-03	3.779676068276632146e-23	1.271923823445526779e-21	5.754183377267563237e-01	-8.288676238907521920e-02
9.105199999999995271e+02	5.649940373590599425e-03	3.513415228629362410e-23	1.180954842560723602e-21	5.342639707744714084e-01	-8.291569025774914170e-02
9.105399999999995089e+02	5.221095979427809938e-03	3.247095720198895810e-23	1.090174994361509323e-21	4.931951674491468207e-01	-8.295267604745093504e-02
9.105599999999994907e+02	4.792251585265019584e-03	2.980717535233391357e-23	9.995839694864436526e-22	4.522117877956671195e-01	-8.299988106319045045e-02
9.105799999999994725e+02	4.363407191102229229e-03	2.714280665980318046e-23	9.091814590430171398e-22	4.113136920710609434e-01	-8.306031544517455956e-02
9.105999999999994543e+02	4.136291701030823074e-03	2.573285454306943568e-23	8.609564060465137894e-22	3.894966780954428609e-01	-8.309007373431875898e-02
9.106199999999994361e+02	4.161685979272701161e-03	2.589368790194033989e-23	8.653354728064437147e-22	3.914777678976351094e-01	-8.306517471819585552e-02
9.106399999999994179e+02	4.187080257514578380e-03	2.605455628825627116e-23	8.697044715460391395e-22	3.934543029274281123e-01	-8.304033416400824485e-02
9.106599999999993997e+02	4.212474535756455599e-03	2.621545970662694234e-23	8.740634192621783807e-22	3.954262908742094962e-01	-8.301555101635538225e-02
9.106799999999993815e+02	4.237868813998332818e-03	2.637639816166252178e-23	8.784123329255723108e-22	3.973937394155289127e-01	-8.299082424511261546e-02
9.106999999999993634e+02	4.494544207846193004e-03	2.797701842372862084e-23	9.306402958460771132e-22	4.210216698407652780e-01	-8.291893278492568076e-02
9.107199999999993452e+02	5.033717473110559462e-03	3.133663785835201017e-23	1.041190830551286493e-21	4.710347317414020352e-01	-8.280635802612412721e-02
9.107399999999993270e+02	5.572890738374925920e-03	3.469699629989941806e-23	1.151509034351472774e-21	5.209426871406063198e-01	-8.271165273164327036e-02
