wavelength_nm,If,abs_xs
904.946,-8.48908e-05,-9.70853e-23
905.146,0.000249565,2.81402e-22
905.346,0.000120936,1.34448e-22
905.546,9.52172e-05,1.04369e-22
905.745,0.000301123,3.25432e-22
905.945,0.000532824,5.67758e-22
906.145,-0.00052259,-5.49044e-22
906.345,0.000275481,2.8536899999999998e-22
906.545,0.000764764,7.81111e-22
906.745,-0.000703045,-7.08017e-22
906.945,-0.000136509,-1.35549e-22
907.144,0.000121071,1.18538e-22
907.344,6.95625e-05,6.71545e-23
907.544,9.53386e-05,9.07515e-23
907.744,0.000430368,4.03937e-22
907.944,-0.000213926,-1.97983e-22
908.144,0.000430488,3.92844e-22
908.343,0.00027586,2.48225e-22
908.543,-0.000755528,-6.7035599999999995e-22
908.743,0.000508062,4.44502e-22
908.943,-0.000368857,-3.18215e-22
909.143,-0.000549503,-4.67456e-22
909.343,0.00141141,1.18396e-21
909.543,0.000869718,7.19404e-22
909.742,-0.000627237,-5.11614e-22
909.942,0.00110238,8.86672e-22
910.142,-0.000395068,-3.13346e-22
910.342,-0.000575911,-4.50434e-22
910.542,0.000121402,9.36334e-23
910.742,-0.000343611,-2.61336e-22
910.941,0.00074161,5.56214e-22
911.141,-0.000576348,-4.26272e-22
911.341,0.000483397,3.52569e-22
911.541,-0.00068,-4.89092e-22
911.741,0.00113013,8.01595e-22
911.941,-3.36256e-05,-2.35202e-23
912.141,0.000690793,4.76507e-22
912.34,9.57506e-05,6.51351e-23
912.54,-0.000810169,-5.43506e-22
912.74,0.000432367,2.86048e-22
912.94,9.58177e-05,6.251620000000001e-23
913.14,-0.0002927,-1.88336e-22
913.34,-0.000163231,-1.0357999999999999e-22
913.539,-0.000215104,-1.34615e-22
913.739,-8.55442e-05,-5.27967e-23
913.939,-0.000215216,-1.30998e-22
914.139,-0.000422771,-2.53789e-22
914.339,0.00019977,1.18271e-22
914.539,-0.000552767,-3.22754e-22
914.739,0.000822908,4.73877e-22
914.938,0.00129057,7.32966e-22
915.138,-7.79163e-06,-4.36437e-24
915.338,7.0155e-05,3.87565e-23
915.538,-7.79649e-06,-4.24797e-24
915.738,0.000408181,2.19348e-22
915.938,0.00038231,2.02628e-22
916.137,0.000122277,6.391900000000001e-23
916.337,0.000408592,2.10661e-22
916.537,0.000200462,1.01938e-22
916.737,-5.98968e-05,-3.0041400000000004e-23
916.937,0.00171161,8.46713e-22
917.137,0.000774024,3.77662e-22
917.337,-0.000112106,-5.39507e-23
917.536,-0.000294706,-1.39889e-22
917.736,-8.60963e-05,-4.0309100000000004e-23
917.936,0.00121889,5.62873e-22
918.136,0.000592697,2.69967e-22
918.336,0.000436209,1.95978e-22
918.536,-0.000216886,-9.61128e-23
918.735,0.000436561,1.90825e-22
918.935,0.000619799,2.67228e-22
