wavelength_nm,If,abs_xs
910.142,0.00338303,6.6004199999999995e-22
910.342,0.00599236,1.15696e-21
910.542,0.00524529,1.00218e-21
910.742,0.00536764,1.0148799999999999e-21
910.941,0.00406501,7.6059799999999995e-22
911.141,0.00386983,7.1655e-22
911.341,0.00399129,7.31362e-22
911.541,0.00431141,7.81816e-22
911.741,0.00574334,1.03067e-21
911.941,0.00582683,1.0348e-21
912.141,0.005036,8.8508e-22
912.34,0.0036872,6.4131e-22
912.54,0.00484412,8.33803e-22
912.74,0.00345342,5.88271e-22
912.94,0.00317685,5.3555699999999995e-22
913.14,0.0042164,7.034499999999999e-22
913.34,0.00425932,7.03261e-22
913.539,0.00246482,4.02763e-22
913.739,0.00466553,7.54491e-22
913.939,0.00450883,7.21618e-22
914.139,0.00599361,9.49349e-22
914.339,0.0048362,7.58118e-22
914.539,0.00263444,4.08714e-22
914.739,0.00640854,9.83987e-22
914.938,0.00287941,4.37557e-22
915.138,0.00513221,7.71863e-22
915.338,0.00529699,7.88444e-22
915.538,0.00481801,7.09769e-22
915.738,0.00453992,6.61923e-22
915.938,0.00530933,7.66146e-22
916.137,0.00583786,8.33757e-22
916.337,0.00681162,9.62835e-22
916.537,0.0051601,7.21902e-22
916.737,0.00706499,9.78253e-22
916.937,0.00573508,7.85962e-22
917.137,0.00586126,7.95019e-22
917.337,0.00473092,6.35124e-22
917.536,0.00676335,8.98677e-22
917.736,0.00498223,6.55233e-22
917.936,0.0047831,6.22608e-22
918.136,0.00519369,6.69138e-22
918.336,0.00475018,6.0573999999999995e-22
918.536,0.00475405,6.00038e-22
918.735,0.00524742,6.55543e-22
918.935,0.0052517,6.4938e-22
919.135,0.00562379,6.88291e-22
919.335,0.00599653,7.26424e-22
919.535,0.00444688,5.33206e-22
919.735,0.00633419,7.51764e-22
919.935,0.0067085,7.88077e-22
920.134,0.00622184,7.23464e-22
920.334,0.0075408,8.67906e-22
920.534,0.0060272,6.86642e-22
920.734,0.00570347,6.43154e-22
920.934,0.00694312,7.74985e-22
921.134,0.00694884,7.67744e-22
921.333,0.00575934,6.2986e-22
921.533,0.00506312,5.48099e-22
921.733,0.00519145,5.5629e-22
921.933,0.00581603,6.16896e-22
922.133,0.0059866,6.28551e-22
922.333,0.00557799,5.79717e-22
922.532,0.00554143,5.70084e-22
922.732,0.00430199,4.38095e-22
922.932,0.00563445,5.67981e-22
923.132,0.006928,6.91315e-22
923.332,0.00814074,8.041169999999999e-22
923.532,0.00598291,5.85002e-22
923.732,0.00807211,7.8131e-22
923.931,0.0067031,6.42252e-22
924.131,0.00554032,5.25485e-22
924.331,0.00863786,8.11015e-22
924.531,0.0068473,6.36416e-22
924.731,0.0075654,6.96074e-22
924.931,0.00665052,6.05735e-22
925.13,0.00728624,6.5695599999999995e-22
925.33,0.00586551,5.23535e-22
925.53,0.00675351,5.96732e-22
925.73,0.00907382,7.93691e-22
925.93,0.00680858,5.89565e-22
926.13,0.00799542,6.8538e-22
926.329,0.00766542,6.50495e-22
926.529,0.00805302,6.76529e-22
926.729,0.00725783,6.03609e-22
926.929,0.00942252,7.757809999999999e-22
927.129,0.00833065,6.7901e-22
