wavelength_nm,If,abs_xs
904.946,0.0156137,7.2769e-21
905.146,0.00803419,3.70013e-21
905.346,0.0130595,5.94344e-21
905.546,0.0104929,4.71894e-21
905.745,0.0118815,5.28036e-21
905.945,0.00956296,4.19979e-21
906.145,0.0127143,5.51789e-21
906.345,0.0136033,5.83408e-21
906.545,0.00964379,4.08721e-21
906.745,0.00983873,4.1207e-21
906.945,0.0115475,4.77943e-21
907.144,0.00966181,3.95188e-21
907.344,0.00916292,3.70373e-21
907.544,0.0103059,4.1167299999999995e-21
907.744,0.0101862,4.0210799999999996e-21
907.944,0.00943357,3.68024e-21
908.144,0.00969256,3.7368699999999996e-21
908.343,0.0109025,4.15403e-21
908.543,0.00761332,2.86675e-21
908.743,0.00831607,3.09464e-21
908.943,0.0100988,3.7139999999999996e-21
909.143,0.00591337,2.14925e-21
909.343,0.00744264,2.6734e-21
909.543,0.00509433,1.80846e-21
909.742,0.00624352,2.19048e-21
909.942,0.00675712,2.34295e-21
910.142,0.00714392,2.4481099999999997e-21
910.342,0.00874288,2.9610399999999998e-21
910.542,0.00906771,3.0351899999999998e-21
910.742,0.00837164,2.7694799999999998e-21
910.941,0.00607683,1.98686e-21
911.141,0.00608111,1.96507e-21
911.341,0.00768476,2.45433e-21
911.541,0.00525697,1.65939e-21
911.741,0.00635002,1.9810699999999998e-21
911.941,0.00404609,1.2476e-21
912.141,0.00558896,1.70328e-21
912.34,0.00591402,1.78138e-21
912.54,0.00746037,2.22104e-21
912.74,0.00817302,2.4049199999999997e-21
912.94,0.00451087,1.31191e-21
913.14,0.00760539,2.1862199999999998e-21
913.34,0.00825521,2.34548e-21
913.539,0.00735857,2.06647e-21
913.739,0.00491156,1.3633e-21
913.939,0.00607763,1.66741e-21
914.139,0.00543586,1.47406e-21
914.339,0.00421097,1.12868e-21
914.539,0.00563829,1.4937599999999999e-21
914.739,0.00907605,2.3767199999999998e-21
914.938,0.00739733,1.91472e-21
915.138,0.00629996,1.6118299999999998e-21
915.338,0.00792801,2.00493e-21
915.538,0.0065045,1.6259499999999998e-21
915.738,0.00397347,9.81793e-22
915.938,0.00521304,1.27322e-21
916.137,0.0091249,2.20293e-21
916.337,0.00691603,1.65042e-21
916.537,0.00822598,1.94041e-21
916.737,0.00712276,1.66083e-21
916.937,0.00477631,1.1008799999999999e-21
917.137,0.0064804,1.47647e-21
917.337,0.00589664,1.32802e-21
917.536,0.00498443,1.10967e-21
917.736,0.00964265,2.12205e-21
917.936,0.00689509,1.49997e-21
918.136,0.001845,3.96757e-22
918.336,0.00631493,1.3424099999999999e-21
918.536,0.00684621,1.43866e-21
918.735,0.00849763,1.76522e-21
918.935,0.00573777,1.1782499999999999e-21
919.135,0.00547899,1.11223e-21
919.335,0.0109608,2.19956e-21
919.535,0.00661098,1.31147e-21
919.735,0.0085336,1.6735199999999999e-21
919.935,0.00735016,1.42495e-21
920.134,0.00689271,1.321e-21
920.334,0.00530819,1.0056999999999999e-21
920.534,0.00491482,9.20544e-22
920.734,0.00651235,1.20584e-21
920.934,0.00817907,1.49718e-21
921.134,0.00898375,1.62573e-21
921.333,0.00719462,1.2871199999999999e-21
921.533,0.00766753,1.3560999999999999e-21
921.733,0.0059407,1.0387299999999999e-21
921.933,0.00267596,4.62565e-22
922.133,0.00581746,9.94163e-22
922.333,0.0115721,1.9551e-21
922.532,0.00395441,6.605039999999999e-22
922.732,0.00837825,1.38352e-21
922.932,0.0109998,1.7958e-21
923.132,0.00678311,1.09482e-21
923.332,0.00282724,4.51151e-22
923.532,0.0042412,6.69107e-22
923.732,0.00727261,1.13435e-21
923.931,0.00714466,1.1017599999999999e-21
924.131,0.00519664,7.9229e-22
924.331,0.00992393,1.4958999999999999e-21
924.531,0.0119589,1.7822499999999998e-21
924.731,0.00419732,6.18455e-22
924.931,0.00758384,1.1048099999999999e-21
925.13,0.00738812,1.0641399999999999e-21
925.33,0.00719167,1.02414e-21
925.53,0.0102514,1.44339e-21
925.73,0.0085637,1.19216e-21
925.93,0.00673639,9.27199e-22
926.13,0.0107575,1.46397e-21
926.329,0.00743038,9.99797e-22
926.529,0.00941474,1.2525299999999999e-21
926.729,0.00758154,9.97291e-22
926.929,0.00676902,8.8039e-22
927.129,0.00882686,1.13512e-21
927.329,0.00685086,8.71106e-22
927.529,0.010283,1.2928199999999999e-21
927.728,0.00851023,1.05792e-21
927.928,0.00391956,4.81776e-22
928.128,0.00653452,7.94182e-22
928.328,0.00819175,9.84426e-22
928.528,0.00523938,6.22572e-22
928.728,0.0104134,1.2235099999999999e-21
928.927,0.00918249,1.0668e-21
929.127,0.00684369,7.86179e-22
929.327,0.0132793,1.5084099999999998e-21
929.527,0.0104561,1.1744199999999999e-21
929.727,0.0065875,7.31633e-22
929.927,0.0049993,5.49035e-22
930.126,0.00278326,3.02249e-22
930.326,0.0100122,1.07514e-21
930.526,0.00967453,1.0272799999999999e-21
930.726,0.00808299,8.48707e-22
930.926,0.0108091,1.12229e-21
931.126,0.0124245,1.27563e-21
931.326,0.0127862,1.2981399999999999e-21
931.525,0.0106327,1.06748e-21
931.725,0.0131626,1.30675e-21
931.925,0.0127556,1.25226e-21
932.125,0.0114363,1.11025e-21
932.325,0.00927249,8.901789999999999e-22
932.525,0.0154652,1.4681899999999999e-21
