wavelength_nm,If,abs_xs
909.942,0.00377055,5.20897e-21
910.092,0.00546919,7.46865e-21
910.242,0.00623618,8.41808e-21
910.392,0.00594697,7.93535e-21
910.542,0.00667287,8.80158e-21
910.692,0.00497483,6.4864399999999995e-21
910.842,0.00460253,5.93206e-21
910.991,0.00534929,6.81535e-21
911.141,0.00505989,6.3726199999999996e-21
911.291,0.00644968,8.02973e-21
911.441,0.00493701,6.07596e-21
911.591,0.00361051,4.39248e-21
911.741,0.00392223,4.717e-21
911.891,0.00541653,6.4394299999999994e-21
912.041,0.00593612,6.97628e-21
912.191,0.00398643,4.63129e-21
912.34,0.00680981,7.8208e-21
912.49,0.00419532,4.76301e-21
912.64,0.00496429,5.57154e-21
912.79,0.00290932,3.22785e-21
912.94,0.00496608,5.44679e-21
913.09,0.00340893,3.6961699999999996e-21
913.24,0.00492636,5.28042e-21
913.39,0.00523905,5.5514299999999996e-21
913.539,0.00210144,2.20131e-21
913.689,0.00546977,5.6643099999999994e-21
913.839,0.00651053,6.66515e-21
913.989,0.00355851,3.60147e-21
914.139,0.00268558,2.687e-21
914.289,0.00260291,2.5745999999999997e-21
914.439,0.00555865,5.43552e-21
914.589,0.0039154,3.78505e-21
914.739,0.00243806,2.33006e-21
914.888,0.00362562,3.42556e-21
915.038,0.00308486,2.88147e-21
915.188,0.00202302,1.86814e-21
915.338,0.00462837,4.22541e-21
915.488,0.00456695,4.12193e-21
915.638,0.0065695,5.86196e-21
915.788,0.00294247,2.59573e-21
915.938,0.00415306,3.62206e-21
916.088,0.0033821,2.91617e-21
916.237,0.00315338,2.6880999999999997e-21
916.387,0.00371779,3.13328e-21
916.537,0.00449135,3.74228e-21
916.687,0.00342731,2.82332e-21
916.837,0.00296859,2.41773e-21
916.987,0.00489185,3.93895e-21
917.137,0.00232222,1.8486799999999998e-21
917.287,0.00552174,4.346e-21
917.436,0.00249079,1.93823e-21
917.586,0.000838862,6.45383e-22
917.736,0.0031618,2.40503e-21
917.886,0.00337203,2.53594e-21
918.036,0.00251457,1.8697e-21
918.186,0.00425358,3.1269999999999997e-21
918.336,0.00452717,3.29053e-21
918.486,0.00425609,3.05857e-21
918.636,0.00316736,2.25047e-21
918.785,0.00451032,3.1684999999999997e-21
918.935,0.00283369,1.9682099999999998e-21
919.085,0.00390457,2.68143e-21
919.235,0.00350701,2.3812599999999998e-21
919.385,0.00602737,4.04645e-21
919.535,0.00340421,2.25966e-21
919.685,0.00210284,1.38011e-21
919.835,0.00252379,1.63773e-21
919.984,0.00189396,1.2151899999999999e-21
920.134,0.00176838,1.12185e-21
920.284,0.00452438,2.8379599999999997e-21
920.434,0.00397875,2.46765e-21
920.584,0.00328546,2.01476e-21
920.734,0.00351811,2.13319e-21
920.884,0.00389833,2.33718e-21
