wavelength_nm,If,abs_xs
910.142,0.00102371,2.05904e-22
910.342,0.000359256,7.1507e-23
910.542,0.00123965,2.44173e-22
910.742,0.00115005,2.24169e-22
910.941,0.00140187,2.70412e-22
911.141,0.000970721,1.85299e-22
911.341,0.00181598,3.4304699999999997e-22
911.541,0.00134876,2.52142e-22
911.741,0.000629562,1.16471e-22
911.941,0.00071966,1.31758e-22
912.141,0.000863781,1.56504e-22
912.34,0.00156594,2.80784e-22
912.54,0.00187235,3.32245e-22
912.74,0.000540228,9.48698e-23
912.94,0.00129686,2.25384e-22
913.14,0.00147733,2.54094e-22
913.34,0.00104522,1.77912e-22
913.539,0.0012618,2.12557e-22
913.739,0.00187516,3.12619e-22
913.939,0.00174941,2.88641e-22
914.139,0.00180402,2.94579e-22
914.339,0.00166015,2.6829e-22
914.539,0.00254509,4.0705799999999997e-22
914.739,0.0026903,4.2584699999999995e-22
914.938,0.00180612,2.82944e-22
915.138,0.00182473,2.82916e-22
915.338,0.00191564,2.93953e-22
915.538,0.00195241,2.96512e-22
915.738,0.00168174,2.52779e-22
915.938,0.00173659,2.5834e-22
916.137,0.0023343,3.43688e-22
916.337,0.00224459,3.27085e-22
916.537,0.00220913,3.18614e-22
916.737,0.0024816,3.54237e-22
916.937,0.00268177,3.78884e-22
917.137,0.00242897,3.3965e-22
917.337,0.00275625,3.81465e-22
917.536,0.00281167,3.85148e-22
917.736,0.00328456,4.45319e-22
917.936,0.00372151,4.99397e-22
918.136,0.00321444,4.26939e-22
918.336,0.0030885,4.0601799999999997e-22
918.536,0.00330785,4.3041e-22
918.735,0.00389101,5.01118e-22
918.935,0.0042382,5.40259e-22
919.135,0.00325726,4.10977e-22
919.335,0.00476956,5.95649e-22
919.535,0.00468053,5.78569e-22
919.735,0.00429991,5.26103e-22
919.935,0.0046116,5.58491e-22
920.134,0.00486875,5.8363e-22
920.334,0.00508974,6.0391e-22
920.534,0.00447139,5.25144e-22
920.734,0.00580615,6.74971e-22
920.934,0.00551637,6.34765e-22
921.134,0.00610349,6.95189e-22
921.333,0.00636216,7.172939999999999e-22
921.533,0.00545039,6.08259e-22
921.733,0.00774009,8.55025e-22
921.933,0.00618752,6.76585e-22
922.133,0.00794847,8.603289999999999e-22
922.333,0.00782375,8.382489999999999e-22
922.532,0.00760732,8.06807e-22
922.732,0.00781245,8.20175e-22
922.932,0.00733907,7.62682e-22
923.132,0.00870071,8.9504e-22
923.332,0.00852113,8.67706e-22
923.532,0.0102704,1.03527e-21
923.732,0.00885985,8.84061e-22
923.931,0.00936054,9.24592e-22
924.131,0.0103401,1.01104e-21
924.331,0.0105107,1.01736e-21
924.531,0.0111604,1.06935e-21
924.731,0.0117184,1.1115e-21
924.931,0.0122403,1.1493099999999999e-21
925.13,0.0127443,1.18459e-21
925.33,0.0128795,1.1851099999999999e-21
925.53,0.0136796,1.24607e-21
925.73,0.0136682,1.2325099999999999e-21
925.93,0.0150055,1.3395e-21
926.13,0.0150129,1.3266999999999999e-21
926.329,0.0152795,1.3367099999999999e-21
926.529,0.0165459,1.4329699999999999e-21
926.729,0.0167951,1.4399599999999998e-21
926.929,0.0167482,1.42154e-21
927.129,0.0189442,1.5918099999999999e-21
927.329,0.0188245,1.56591e-21
927.529,0.0197249,1.6243799999999999e-21
927.728,0.0206081,1.6801299999999998e-21
927.928,0.0215108,1.73618e-21
928.128,0.0231021,1.84597e-21
928.328,0.022817,1.80497e-21
928.528,0.0237224,1.85784e-21
928.728,0.0253919,1.96873e-21
928.927,0.0261697,2.00879e-21
929.127,0.0266311,2.0238e-21
929.327,0.0276716,2.0818999999999997e-21
929.527,0.028508,2.12345e-21
929.727,0.0283,2.08695e-21
929.927,0.0297359,2.17101e-21
930.126,0.0298267,2.15596e-21
930.326,0.0308906,2.21064e-21
930.526,0.0316002,2.23893e-21
930.726,0.0321608,2.256e-21
930.926,0.0330974,2.29863e-21
931.126,0.0335658,2.3079999999999997e-21
931.326,0.0340167,2.3157899999999998e-21
931.525,0.0340366,2.29415e-21
931.725,0.0352204,2.3503999999999998e-21
931.925,0.034283,2.26515e-21
932.125,0.0355624,2.3263999999999998e-21
932.325,0.0358277,2.32054e-21
932.525,0.0370162,2.37378e-21
932.724,0.0367374,2.33259e-21
932.924,0.0369858,2.32513e-21
933.124,0.036273,2.25777e-21
933.324,0.0386909,2.3844699999999997e-21
