wavelength_nm,If,abs_xs
904.946,0.010849,7.34204e-21
905.146,0.00937421,6.262419999999999e-21
905.346,0.0119294,7.86703e-21
905.546,0.0110467,7.19139e-21
905.745,0.0096287,6.18781e-21
905.945,0.00844694,5.35872e-21
906.145,0.0104729,6.55881e-21
906.345,0.013453,8.317149999999999e-21
906.545,0.00727244,4.43849e-21
906.745,0.0102543,6.17821e-21
906.945,0.00781753,4.64978e-21
907.144,0.00961135,5.64359e-21
907.344,0.00657483,3.81124e-21
907.544,0.00747431,4.27726e-21
907.744,0.00837526,4.7316e-21
907.944,0.00778297,4.34084e-21
908.144,0.00425871,2.34491e-21
908.343,0.00749355,4.07343e-21
908.543,0.00683965,3.67056e-21
908.743,0.00570545,3.02285e-21
908.943,0.00936736,4.89976e-21
909.143,0.0044527,2.2994e-21
909.343,0.00631716,3.2207e-21
909.543,0.00656166,3.3027899999999998e-21
909.742,0.0111963,5.5639399999999994e-21
909.942,0.00849603,4.1683799999999995e-21
910.142,0.00789951,3.82647e-21
910.342,0.00404875,1.93628e-21
910.542,0.00736734,3.47864e-21
910.742,0.0086998,4.05566e-21
910.941,0.0041777,1.92285e-21
911.141,0.00526808,2.3939799999999997e-21
911.341,0.00569476,2.5550799999999997e-21
911.541,0.00739268,3.2748799999999998e-21
911.741,0.00830597,3.63288e-21
911.941,0.00800893,3.4586299999999996e-21
912.141,0.00546836,2.33162e-21
912.34,0.00547223,2.30377e-21
912.54,0.00766168,3.18476e-21
912.74,0.0065128,2.673e-21
912.94,0.00566625,2.2961999999999998e-21
913.14,0.0040886,1.6359599999999998e-21
913.34,0.00664872,2.62677e-21
913.539,0.00848167,3.3086799999999997e-21
913.739,0.00379282,1.46092e-21
913.939,0.00501591,1.9077e-21
914.139,0.00563042,2.1144499999999997e-21
914.339,0.00636804,2.36136e-21
914.539,0.00276442,1.01219e-21
914.739,0.00258291,9.33837e-22
914.938,0.00399367,1.4257399999999998e-21
915.138,0.00136082,4.79711e-22
915.338,0.00620819,2.161e-21
915.538,0.00768633,2.64195e-21
915.738,0.00240853,8.17476e-22
915.938,0.00702201,2.35344e-21
916.137,0.00555051,1.83695e-21
916.337,0.00395377,1.2921099999999999e-21
916.537,0.0064221,2.0724899999999998e-21
916.737,0.00574878,1.83198e-21
916.937,0.00698807,2.19904e-21
917.137,0.00384285,1.19417e-21
917.337,0.00471161,1.4458299999999999e-21
917.536,0.00657192,1.9915e-21
917.736,0.00800171,2.3944799999999997e-21
917.936,0.00627269,1.8536499999999998e-21
918.136,0.00621578,1.8139099999999998e-21
918.336,0.009325,2.6873099999999998e-21
918.536,0.00610163,1.73647e-21
918.735,0.00672878,1.89109e-21
918.935,0.0102196,2.8363999999999997e-21
919.135,0.00431065,1.1815e-21
919.335,0.00643416,1.74159e-21
919.535,0.00481708,1.28766e-21
919.735,0.00444652,1.17383e-21
919.935,0.00820069,2.13798e-21
920.134,0.00789466,2.03263e-21
920.334,0.003957,1.00615e-21
920.534,0.00684304,1.7184e-21
