wavelength_nm,If,abs_xs
919.935,0.00260157,6.09741e-21
920.034,0.00160128,3.7177e-21
920.134,0.00141961,3.26492e-21
920.234,0.00192053,4.37545e-21
920.334,0.00105606,2.38337e-21
920.434,0.00128393,2.8704099999999997e-21
920.534,0.00183067,4.0542899999999996e-21
920.634,0.00196771,4.31684e-21
920.734,0.00087473,1.901e-21
920.834,0.00196855,4.23798e-21
920.934,0.00237917,5.07392e-21
921.034,0.00146793,3.1011899999999998e-21
921.134,0.00160503,3.35902e-21
921.233,0.000328371,6.8077399999999995e-22
921.333,0.00279182,5.73369e-21
921.433,0.00283803,5.7739699999999995e-21
921.533,0.00115006,2.3178499999999998e-21
921.633,0.00197197,3.93712e-21
921.733,0.00156149,3.08838e-21
921.833,0.00128784,2.52328e-21
921.933,0.00233873,4.53939e-21
922.033,0.00233925,4.4979e-21
922.133,0.0014715,2.8029e-21
922.233,0.00243172,4.58859e-21
922.333,0.00138072,2.5809999999999997e-21
922.433,0.00229561,4.2511e-21
922.532,0.00124411,2.28235e-21
922.632,-0.000356848,-6.48523e-22
922.732,-0.000448447,-8.07374e-22
922.832,0.000558405,9.95945e-22
922.932,0.000558536,9.86872e-22
923.032,9.16038e-06,1.60342e-23
923.132,0.00142902,2.4779799999999997e-21
923.232,0.00133773,2.2980199999999997e-21
923.332,0.00106311,1.80922e-21
923.432,0.00230086,3.87909e-21
923.532,0.000971903,1.6232699999999999e-21
923.632,0.0017058,2.8224499999999998e-21
923.732,0.00143101,2.3456899999999998e-21
923.831,0.00133959,2.17536e-21
923.931,0.00143168,2.3032299999999998e-21
924.031,0.00106484,1.69711e-21
924.131,0.000973274,1.5367199999999999e-21
924.231,0.0012031,1.8818899999999998e-21
924.331,0.000927797,1.43775e-21
924.431,0.00221439,3.39955e-21
924.531,0.000790399,1.2021299999999999e-21
924.631,0.000147085,2.21622e-22
924.731,0.00244586,3.6510199999999996e-21
924.831,0.00143476,2.12179e-21
924.931,0.00106714,1.56346e-21
925.031,0.00143547,2.0835299999999998e-21
925.13,0.00111368,1.6014399999999999e-21
925.23,0.00148219,2.1115399999999998e-21
925.33,0.00267963,3.78193e-21
925.43,0.00125264,1.7515e-21
