wavelength_nm,If,abs_xs
904.946,0.0101261,1.1233299999999999e-20
905.146,0.00979706,1.0715499999999998e-20
905.346,0.00650554,7.01545e-21
905.546,0.00550287,5.85085e-21
905.745,0.00931126,9.7611e-21
905.945,0.0104372,1.0787899999999999e-20
906.145,0.00853856,8.7017e-21
906.345,0.00686191,6.894979999999999e-21
906.545,0.00849322,8.41457e-21
906.745,0.00855449,8.35658e-21
906.945,0.00507741,4.8905e-21
907.144,0.0114878,1.09101e-20
907.344,0.00975189,9.13194e-21
907.544,0.00874492,8.074499999999999e-21
907.744,0.00672346,6.12126e-21
907.944,0.00858729,7.708949999999999e-21
908.144,0.00577349,5.1106e-21
908.343,0.00397185,3.46675e-21
908.543,0.00691013,5.94725e-21
908.743,0.0074231,6.29966e-21
908.943,0.00527986,4.41834e-21
909.143,0.00630151,5.19983e-21
909.343,0.00268301,2.18312e-21
909.543,0.0068762,5.51719e-21
909.742,0.00348017,2.75351e-21
909.942,0.00535418,4.17732e-21
910.142,0.00382529,2.9430099999999998e-21
910.342,0.00644028,4.8860299999999996e-21
910.542,0.00383034,2.8655999999999997e-21
910.742,0.00588035,4.3382199999999994e-21
910.941,0.00383556,2.7904299999999998e-21
911.141,0.0050911,3.65249e-21
911.341,0.00492351,3.4833e-21
911.541,0.000536025,3.73975e-22
911.741,0.00321851,2.2144e-21
911.941,0.00704687,4.7812799999999996e-21
912.141,0.0058518,3.9155e-21
912.34,0.00448343,2.9584199999999998e-21
912.54,0.00591729,3.85059e-21
912.74,0.00151186,9.7023e-22
912.94,0.0040345,2.5533599999999998e-21
913.14,0.00747863,4.66776e-21
913.34,0.00214648,1.3212299999999999e-21
913.539,0.0057091,3.46568e-21
913.739,0.0052536,3.1452099999999998e-21
913.939,0.00427947,2.52672e-21
914.139,0.00704575,4.10271e-21
914.339,0.00417072,2.39516e-21
914.539,0.00336679,1.90687e-21
914.739,0.00660022,3.6868e-21
914.938,0.000542725,2.98992e-22
915.138,0.00470344,2.55556e-21
915.338,0.0084657,4.53656e-21
